Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,KC7SAR,145.110000,-,0.600000,Tone,127.3,127.3,023,NN,FM,5.00,,"North Bend, Rattlesnake Mountain",,,,
1,KC7SAR,145.110000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Skykomish,,,,
2,KC7IYE,145.310000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Redmond,,,,
3,K7NWS,145.330000,-,0.600000,Tone,179.9,88.5,023,NN,FM,5.00,,"Issaquah, West Tiger Mountain",,,,
4,W7AAO,145.370000,-,0.600000,Tone,136.5,88.5,023,NN,FM,5.00,,"Enumclaw, Grass Mountain",,,,
5,K7LWH,145.490000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Kirkland, Rose Hill",,,,
6,KE7GFZ,145.590000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Carnation,,,,
7,K7TGU,146.425000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Issaquah,,,,
8,WA7ST,146.660000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Seatac,,,,
9,W7AW,146.680000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,"Seattle, West Seattle",,,,
10,WA7FW,146.760000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,Federal Way,,,,
11,K7LED,146.820000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Issaquah, Tiger Mountain East",,,,
12,WA7FW,146.840000,-,0.600000,,88.5,88.5,023,NN,DV,5.00,,Federal Way,CQCQCQ,,,0
13,K7PF,146.880000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Issaquah, Tiger Mountain",,,,
14,W7SRZ,146.900000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Seattle, Beacon Hill",,,,
15,KD7VMK,146.920000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"North Bend, Green Mountain",,,,
16,WW7PSR,146.960000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Seattle, Queen Anne",,,,
17,K7MMI,146.980000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,"Enumclaw, Baldi Mountain",,,,
18,W7DX,147.000000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Seattle, Maple Leaf",,,,
19,WA7FW,147.040000,+,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,Federal Way,,,,
20,W7WWI,147.080000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,"Issaquah, Tiger Mountain",,,,
21,KC7RAS,147.100000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,"Issaquah, Tiger Mountain East",,,,
22,K7EK,147.140000,+,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,"Enumclaw, Baldi Mountain",,,,
23,W7MIR,147.160000,+,0.600000,Tone,146.2,88.5,023,NN,FM,5.00,,Mercer Island,,,,
24,K7SYE,147.240000,+,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,Auburn,,,,
25,KF7NPL,147.260000,+,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,Maple Valley,,,,
26,K7CST,147.320000,+,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,Kent,,,,
27,K6RFK,147.340000,+,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Woodinville,,,,
28,N7NW,223.980000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Issaquah, East Tiger Mountain",,,,
29,K7LED,224.120000,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Issaquah, East Tiger Mountain",,,,
30,WA7FUS,224.220000,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Lake Forest Park,,,,
31,K7NWS,224.340000,-,1.600000,Tone,110.9,88.5,023,NN,FM,5.00,,"Issaquah, West Tiger Mountain",,,,
32,K7LWH,224.360000,-,1.600000,Tone,103.5,103.5,023,NN,FM,5.00,,Kirkland,,,,
33,KF7BJI,224.440000,-,1.600000,Tone,103.5,103.5,023,NN,FM,5.00,,"Newcastle, Cougar Mt",,,,
34,W7SRZ,224.680000,-,1.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Seattle, Beacon Hill",,,,
35,WB7DOB,224.760000,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Enumclaw, Baldi Mountain",,,,
36,W7WRG,224.880000,-,1.600000,Tone,103.5,103.5,023,NN,FM,5.00,,"Enumclaw, Baldi",,,,
37,N7OEP,440.075000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Enumclaw,,,,
38,K7SLB,440.100000,+,5.000000,Tone,110.9,88.5,023,NN,FM,5.00,,Seattle,,,,
39,W7MIR,440.150000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Mercer Island,,,,
40,N9VW,440.250000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Issaquah,,,,
41,W7SRG,440.250000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Sammamish,,,,
42,KF7BFS,440.275000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,SeaTac,CQCQCQ,,,0
43,KC7ONX,440.300000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Shoreline,,,,
44,KF7BFT,440.425000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Tukwila,CQCQCQ,,,0
45,W7ACS,440.525000,+,5.000000,Tone,141.3,141.3,023,NN,P25,5.00,,"Seattle, Beacon Hill",,,,
46,N6OBY,440.675000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Redmond,,,,
47,W7ACS,440.762500,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Seattle,CQCQCQ,,,0
48,K7LWH,441.075000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Kirkland,,,,
49,KC7IYE,441.100000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,Bellevue,,,,
50,W7RNK,441.212500,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Newcastle,CQCQCQ,,,0
51,KF7UUY,441.262500,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Bothell,CQCQCQ,,,0
52,N7ERP,441.287500,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Seattle, Cougar Mtn",,,,
53,NF6C,441.350000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Enumclaw, Baldi Mountain",,,,
54,KC7IGT,441.450000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Renton,,,,
55,W7TWA,441.525000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"North Bend, Rattlesnake Mountain",,,,
56,W7WWI,441.550000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Issaquah,,,,
